model,experiment,mae_ms,rmse_ms,r2,risk_positive_rate,risk_accuracy,risk_f1,best_risk_threshold,best_threshold_accuracy,best_threshold_precision,best_threshold_recall,best_threshold_f1,p95_absolute_error_ms
Temporal GNN,"SEE-V2X 4_tx full, 50ms risk",9.507895469665527,16.419217345604128,0.3183390498161316,0.0928753180661577,0.7716284987277354,0.4381846635367762,0.55,0.7900763358778626,0.2982456140350877,0.9315068493150684,0.4518272425249169,34.29949188232422
GRU baseline,"SEE-V2X 4_tx full, 50ms risk",9.979084014892578,16.85134427738862,0.2819864749908447,0.0928753180661577,0.7576335877862596,0.4270676691729323,0.6,0.7881679389312977,0.2926829268292683,0.9041095890410958,0.4422110552763819,37.76072311401367
MLP baseline,"SEE-V2X 4_tx full, 50ms risk",10.722528457641602,18.44498987170195,0.1397585868835449,0.0928753180661577,0.7487277353689568,0.3659711075441412,0.5,0.7487277353689568,0.2389937106918239,0.7808219178082192,0.3659711075441412,42.056522369384766
Temporal GNN,"SEE-V2X 4_tx full, 80ms risk",9.59755516052246,16.546329997221534,0.3077437281608581,0.0248091603053435,0.8956743002544529,0.2264150943396226,0.8,0.9541984732824428,0.2461538461538461,0.4102564102564102,0.3076923076923077,34.81509017944336
Temporal GNN,"SEE-V2X 4_tx full, 100ms risk",9.536986351013184,16.178557647054404,0.3381751179695129,0.0089058524173027,0.950381679389313,0.1333333333333333,0.75,0.9815521628498728,0.2222222222222222,0.4285714285714285,0.2926829268292683,34.86133575439453
