tx_setting,rows,scenarios,links,mean_latency_ms,p95_latency_ms,risk50_positive_rate,mae_ms,rmse_ms,r2,risk_positive_rate,risk_accuracy,risk_f1,best_risk_threshold,best_threshold_precision,best_threshold_recall,best_threshold_f1,p95_absolute_error_ms
1_tx,181683,100,1,24.7298672412939,77.191,0.1234843105849198,7.887904167175293,14.35896003463925,0.3129811286926269,0.0510204081632653,0.7193877551020408,0.2253521126760563,0.9,0.8,0.4,0.5333333333333333,22.599916458129883
2_tx,348108,100,2,24.736723967849056,76.9899499999999,0.1188510462270329,7.010740756988525,11.539654240709172,0.2632169723510742,0.0412371134020618,0.7268041237113402,0.2318840579710145,0.75,0.2452830188679245,0.8125,0.3768115942028985,22.56615447998047
4_tx,1530040,100,9,24.64515492928289,74.355,0.1134519358971007,9.507895469665527,16.419217345604128,0.3183390498161316,0.0928753180661577,0.7716284987277354,0.4381846635367762,0.55,0.2982456140350877,0.9315068493150684,0.4518272425249169,34.29949188232422
